Page title,Section,Source page number,Priority,Page type,Status,Tags,Export ready,Local agent use,Notes,Related concepts
01 — Local LLM Harnesses: Big Picture,Foundations and Runtime,1,High,Concept,Draft,"api, architecture, library, local-models, models, ollama, runtime",Yes,"Top-level mental map of how a local model actually gets executed; lets the librarian explain why Ollama exists vs vLLM, llama.cpp, LM Studio, etc.","Foundational source page: harness landscape, where Ollama sits, what GGUF is, where STT lives.","Ollama Runtime Overview, Local Model Catalog (Small Models), Quantization and Why It Matters, FastAPI Service Layer, Speech-to-Text (Local STT)"
01 — Mini PC Hardware and Local Environment,Foundations and Runtime,1,High,Reference,Planned,"environment, hardware, mini-pc, runtime",No,"Used by the librarian to know target hardware constraints (RAM, disk, CPU/GPU) when suggesting models or routes.","Defines the target mini PC, OS, disk layout, and base environment the assistant runs on.","Ollama Runtime, Process Management, Local Security Posture"
02 — Ollama Runtime Overview,Foundations and Runtime,2,High,Concept,Draft,"api, embeddings, local-models, ollama, runtime, systemd",Yes,Tells the librarian how the local model server runs and how to reach it via HTTP.,"Explains how Ollama runs local models, exposes its API, and is managed as a long-running service.","Local LLM Harnesses: Big Picture, Local Model Catalog (Small Models), Quantization and Why It Matters, FastAPI Service Layer, Process Management and Auto-Start, Local File Search and Indexing, Local Security Posture"
03 — Local Model Catalog (Small Models),Foundations and Runtime,3,High,Reference,Draft,"embeddings, llama, local-models, mistral, models, ollama, phi, qwen",Yes,Lookup table the router uses to map task class to a specific local model variant.,"Catalogs small local models considered or used (e.g., Llama 3 8B, Qwen, Phi, Mistral) with size, speed, and use case.","Local LLM Harnesses: Big Picture, Ollama Runtime Overview, Quantization and Why It Matters, Model Selection Rules, Local File Search and Indexing, Speech-to-Text (Local STT), Experiments Log"
04 — Quantization and Why It Matters,Foundations and Runtime,4,High,Concept,Draft,"comparisons, experiments, local-models, models, ollama",Yes,"Lets the librarian explain quant tags (Q4_K_M, Q5_K_M, Q8_0), predict file size and RAM, and pick the right quant per task and hardware.","Foundational source page: how quantization makes 7B-class models fit on a mini PC, and which level to use.","Local LLM Harnesses: Big Picture, Ollama Runtime Overview, Local Model Catalog (Small Models), Model Selection Rules, Experiments Log"
04 — FastAPI Service Layer,Foundations and Runtime,4,High,Implementation,Planned,"api, fastapi, python, service-layer",No,Defines the local HTTP surface the librarian and dashboard call into.,Defines the FastAPI app that wraps Ollama and exposes assistant endpoints to other components.,"Ollama Runtime, Router Architecture, Phone-Accessible Dashboard"
05 — Python Environment and Dependencies,Foundations and Runtime,5,Medium,Reference,Planned,"dependencies, pip, python, uv, venv",No,Reproducibility info for rebuilds and Worker scripts.,"Tracks the Python version, virtualenv strategy, and pinned dependencies for the assistant stack.","FastAPI Service Layer, Process Management, Git Safety"
06 — Process Management and Auto-Start,Foundations and Runtime,6,Medium,Implementation,Planned,"autostart, services, supervisord, systemd",No,Lets the librarian reason about which services should be alive and how to recover.,"Describes how Ollama, FastAPI, and helper services start on boot and recover from crashes.","Mini PC Hardware, FastAPI Service Layer, Observability"
07 — Router Architecture Overview,Routing and Control,7,High,Concept,Planned,"architecture, control, dispatch, router",No,Top-level decision flow the librarian itself participates in.,Explains the top-level router that classifies an incoming request and dispatches it to a model or skill.,"Model Selection Rules, Tool and Skill Registry, Fallback Modes"
08 — Model Selection Rules,Routing and Control,8,High,Implementation,Planned,"heuristics, model-selection, routing, rules",No,Concrete heuristics the router applies to choose a model per task.,Defines deterministic rules for picking which local model handles which kind of task.,"Local Model Catalog, Router Architecture, Experiments Log"
09 — Tool and Skill Registry,Routing and Control,9,High,Reference,Planned,"contracts, registry, skills, tools",No,Authoritative list of callable skills and their I/O contracts.,"Catalogs callable tools/skills (file search, notes, voice, dashboard actions) and their input/output contracts.","Router Architecture, Prompt Library, Local File Search"
10 — Prompt and System Message Library,Routing and Control,10,Medium,Reference,Planned,"library, prompts, system-messages",No,Source of system prompts the router and librarian use at runtime.,"Stores reusable system prompts for the router, librarian, and specialized skills.","Router Architecture, Librarian Agent Design, Tool Registry"
11 — Fallback and Degraded Modes,Routing and Control,11,Medium,Concept,Planned,"degraded-mode, fallback, resilience",No,"Tells the router how to behave when a model is OOM, slow, or returns low confidence.","Describes what happens when a model is unavailable, slow, or returns low-confidence output.","Router Architecture, Failure Modes, Observability"
12 — Git Safety and Repository Layout,Safety / Change Control / Testing,12,High,Implementation,Planned,"branches, git, repo, safety",No,Lets agents/Workers commit safely without trashing main.,"Defines repo structure, branch rules, and commit hygiene for the assistant codebase.","Backups, Dry Run Patterns, Local Testing"
"13 — Backups, Snapshots, and Rollback",Safety / Change Control / Testing,13,High,Reference,Planned,"backups, recovery, rollback, snapshots",No,Recovery playbook the librarian can cite during incidents.,"Documents how to back up models, code, configs, and knowledge, and how to roll back safely.","Git Safety, Knowledge Library Structure, Local Security Posture"
14 — Dry Run and Human-in-the-Loop Patterns,Safety / Change Control / Testing,14,High,Concept,Planned,"dry-run, guardrails, hitl, preview",No,Default policy for risky actions: preview before commit.,Captures patterns for previewing agent actions before they touch real state.,"Router Architecture, Git Safety, Tool Registry"
15 — Local Testing Strategy,Safety / Change Control / Testing,15,Medium,Implementation,Planned,"fastapi, fixtures, pytest, testing",No,How Workers should validate routing logic and skills before merge.,"Defines how to test FastAPI endpoints, routing logic, and skills locally with small fixtures.","FastAPI Service Layer, Router Architecture, Git Safety"
16 — Observability and Local Logging,Safety / Change Control / Testing,16,Medium,Implementation,Planned,"logging, metrics, observability, traces",No,Where the librarian looks to debug or summarize recent assistant behavior.,"Describes logs, metrics, and traces produced by the assistant and how they are stored locally.","Process Management, Fallback Modes, Failure Modes"
17 — Failure Modes and Risk Register,Safety / Change Control / Testing,17,Medium,Reference,Planned,"failures, mitigations, register, risks",No,Lookup of known failure modes and mitigations the librarian can quote.,"Tracks known failure modes (OOM, model drift, disk full, bad routes) and mitigations.","Fallback Modes, Observability, Backups"
18 — Local File Search and Indexing,Knowledge / Speech / Interface,18,High,Implementation,Planned,"bm25, embeddings, indexing, rag, search",No,Primary retrieval surface the librarian uses to find relevant Markdown.,"Explains how local files are indexed and queried (e.g., embeddings, BM25, hybrid search).","Notion Export Pipeline, Librarian Agent Design, Knowledge Library Structure"
19 — Notion Export Pipeline,Knowledge / Speech / Interface,19,High,Implementation,Planned,"export, markdown, notion, pipeline",No,Defines how new versions of these pages flow into the offline library.,Documents how Notion pages are exported to Markdown and imported into the local library.,"Knowledge Library Structure, Local File Search, Librarian Agent Design"
20 — Librarian Agent Design,Knowledge / Speech / Interface,20,High,Concept,Planned,"agent, classification, librarian, summarization",No,Self-description of the librarian agent itself.,"Defines the small local agent that classifies, summarizes, and routes through exported pages.","Local File Search, Prompt Library, Router Architecture"
21 — Voice Notes Capture,Knowledge / Speech / Interface,21,Medium,Implementation,Planned,"audio, capture, queue, voice-notes",No,Inbound channel for ad-hoc voice input from phone or mic.,Describes how voice notes are captured from phone or mic and queued for processing.,"Speech-to-Text, Phone Dashboard, Knowledge Library Structure"
22 — Speech-to-Text (Local STT),Knowledge / Speech / Interface,22,High,Reference,Planned,"local, stt, transcription, whisper",No,Selected STT model and quality notes the router uses for voice intents.,"Covers local STT options (e.g., whisper.cpp, faster-whisper) with model and quality notes.","Voice Notes Capture, Local Model Catalog, Experiments Log"
23 — Phone-Accessible Dashboard,Knowledge / Speech / Interface,23,High,Implementation,Planned,"dashboard, lan, phone, ui",No,Primary human-facing surface for interacting with the assistant.,Defines the small dashboard (web UI) used to interact with the assistant from a phone on the LAN.,"FastAPI Service Layer, Local Security Posture, Voice Notes Capture"
24 — Knowledge Library Structure on Disk,Knowledge / Speech / Interface,24,Medium,Reference,Planned,"filesystem, layout, library, markdown",No,Predictable file layout the librarian relies on for retrieval.,Maps how exported Markdown is organized on disk so the librarian can find it predictably.,"Notion Export Pipeline, Local File Search, Backups"
25 — Local Security Posture,Security / MVP / Glossary / Experiments,25,High,Concept,Planned,"auth, network, secrets, security",No,Bounds for what the assistant should expose and to whom.,"Defines network exposure, auth, secrets handling, and update policy for the mini PC stack.","Secrets Management, Phone Dashboard, Process Management"
26 — Secrets and Config Management,Security / MVP / Glossary / Experiments,26,Medium,Implementation,Planned,"config, env, rotation, secrets",No,Where keys live and how they get rotated.,"Describes how API keys, tokens, and configs are stored and rotated locally.","Local Security Posture, Python Environment, Backups"
27 — MVP Definition (v0.1),Security / MVP / Glossary / Experiments,27,High,Decision,Planned,"milestones, mvp, scope, v0.1",No,Authoritative scope statement the librarian can reference for what is in/out.,Defines the smallest end-to-end working assistant and the cut line for v0.1.,"Router Architecture, Phone Dashboard, Open Questions"
28 — Glossary of Terms,Security / MVP / Glossary / Experiments,28,Medium,Glossary,Planned,"definitions, glossary, vocabulary",No,Canonical vocabulary for disambiguation when classifying queries.,"Shared vocabulary for the project (router, skill, librarian, dashboard, etc.).","Librarian Agent Design, Router Architecture, Tool Registry"
29 — Experiments Log,Security / MVP / Glossary / Experiments,29,Medium,Experiment,Planned,"comparisons, evaluation, experiments, log",No,Source of empirical results that justify model and routing choices.,"Running log of experiments with models, prompts, routing rules, and quantization choices.","Local Model Catalog, Model Selection Rules, Speech-to-Text"
30 — Open Questions and Future Work,Security / MVP / Glossary / Experiments,30,Low,Reference,Planned,"backlog, future, questions",No,Backlog the librarian can surface when asked what is unresolved.,Captures unresolved questions and future directions deferred past v0.1.,"MVP Definition, Experiments Log, Failure Modes"