Page title,Export ready,Local agent use,Notes,Page type,Priority,Related concepts,Section,Source page number,Status,Tags
03 — Local Model Catalog (Small Models),Yes,Lookup table the router uses to map task class to a specific local model variant.,"Catalogs small local models considered or used (e.g., Llama 3 8B, Qwen, Phi, Mistral) with size, speed, and use case.",Reference,High,"Local LLM Harnesses: Big Picture, Ollama Runtime Overview, Quantization and Why It Matters, Model Selection Rules, Local File Search and Indexing, Speech-to-Text (Local STT), Experiments Log",Foundations and Runtime,3,Draft,"embeddings, llama, local-models, mistral, models, ollama, phi, qwen"
04 — FastAPI Service Layer,No,Defines the local HTTP surface the librarian and dashboard call into.,Defines the FastAPI app that wraps Ollama and exposes assistant endpoints to other components.,Implementation,High,"Ollama Runtime, Router Architecture, Phone-Accessible Dashboard",Foundations and Runtime,4,Planned,"api, fastapi, python, service-layer"
01 — Mini PC Hardware and Local Environment,No,"Used by the librarian to know target hardware constraints (RAM, disk, CPU/GPU) when suggesting models or routes.","Defines the target mini PC, OS, disk layout, and base environment the assistant runs on.",Reference,High,"Ollama Runtime, Process Management, Local Security Posture",Foundations and Runtime,1,Planned,"environment, hardware, mini-pc, runtime"
02 — Ollama Runtime Overview,Yes,Tells the librarian how the local model server runs and how to reach it via HTTP.,"Explains how Ollama runs local models, exposes its API, and is managed as a long-running service.",Concept,High,"Local LLM Harnesses: Big Picture, Local Model Catalog (Small Models), Quantization and Why It Matters, FastAPI Service Layer, Process Management and Auto-Start, Local File Search and Indexing, Local Security Posture",Foundations and Runtime,2,Draft,"api, embeddings, local-models, ollama, runtime, systemd"
05 — Python Environment and Dependencies,No,Reproducibility info for rebuilds and Worker scripts.,"Tracks the Python version, virtualenv strategy, and pinned dependencies for the assistant stack.",Reference,Medium,"FastAPI Service Layer, Process Management, Git Safety",Foundations and Runtime,5,Planned,"dependencies, pip, python, uv, venv"
06 — Process Management and Auto-Start,No,Lets the librarian reason about which services should be alive and how to recover.,"Describes how Ollama, FastAPI, and helper services start on boot and recover from crashes.",Implementation,Medium,"Mini PC Hardware, FastAPI Service Layer, Observability",Foundations and Runtime,6,Planned,"autostart, services, supervisord, systemd"
07 — Router Architecture Overview,No,Top-level decision flow the librarian itself participates in.,Explains the top-level router that classifies an incoming request and dispatches it to a model or skill.,Concept,High,"Model Selection Rules, Tool and Skill Registry, Fallback Modes",Routing and Control,7,Planned,"architecture, control, dispatch, router"
08 — Model Selection Rules,No,Concrete heuristics the router applies to choose a model per task.,Defines deterministic rules for picking which local model handles which kind of task.,Implementation,High,"Local Model Catalog, Router Architecture, Experiments Log",Routing and Control,8,Planned,"heuristics, model-selection, routing, rules"
09 — Tool and Skill Registry,No,Authoritative list of callable skills and their I/O contracts.,"Catalogs callable tools/skills (file search, notes, voice, dashboard actions) and their input/output contracts.",Reference,High,"Router Architecture, Prompt Library, Local File Search",Routing and Control,9,Planned,"contracts, registry, skills, tools"
10 — Prompt and System Message Library,No,Source of system prompts the router and librarian use at runtime.,"Stores reusable system prompts for the router, librarian, and specialized skills.",Reference,Medium,"Router Architecture, Librarian Agent Design, Tool Registry",Routing and Control,10,Planned,"library, prompts, system-messages"
11 — Fallback and Degraded Modes,No,"Tells the router how to behave when a model is OOM, slow, or returns low confidence.","Describes what happens when a model is unavailable, slow, or returns low-confidence output.",Concept,Medium,"Router Architecture, Failure Modes, Observability",Routing and Control,11,Planned,"degraded-mode, fallback, resilience"
12 — Git Safety and Repository Layout,No,Lets agents/Workers commit safely without trashing main.,"Defines repo structure, branch rules, and commit hygiene for the assistant codebase.",Implementation,High,"Backups, Dry Run Patterns, Local Testing",Safety / Change Control / Testing,12,Planned,"branches, git, repo, safety"
"13 — Backups, Snapshots, and Rollback",No,Recovery playbook the librarian can cite during incidents.,"Documents how to back up models, code, configs, and knowledge, and how to roll back safely.",Reference,High,"Git Safety, Knowledge Library Structure, Local Security Posture",Safety / Change Control / Testing,13,Planned,"backups, recovery, rollback, snapshots"
14 — Dry Run and Human-in-the-Loop Patterns,No,Default policy for risky actions: preview before commit.,Captures patterns for previewing agent actions before they touch real state.,Concept,High,"Router Architecture, Git Safety, Tool Registry",Safety / Change Control / Testing,14,Planned,"dry-run, guardrails, hitl, preview"
15 — Local Testing Strategy,No,How Workers should validate routing logic and skills before merge.,"Defines how to test FastAPI endpoints, routing logic, and skills locally with small fixtures.",Implementation,Medium,"FastAPI Service Layer, Router Architecture, Git Safety",Safety / Change Control / Testing,15,Planned,"fastapi, fixtures, pytest, testing"
16 — Observability and Local Logging,No,Where the librarian looks to debug or summarize recent assistant behavior.,"Describes logs, metrics, and traces produced by the assistant and how they are stored locally.",Implementation,Medium,"Process Management, Fallback Modes, Failure Modes",Safety / Change Control / Testing,16,Planned,"logging, metrics, observability, traces"
17 — Failure Modes and Risk Register,No,Lookup of known failure modes and mitigations the librarian can quote.,"Tracks known failure modes (OOM, model drift, disk full, bad routes) and mitigations.",Reference,Medium,"Fallback Modes, Observability, Backups",Safety / Change Control / Testing,17,Planned,"failures, mitigations, register, risks"
18 — Local File Search and Indexing,No,Primary retrieval surface the librarian uses to find relevant Markdown.,"Explains how local files are indexed and queried (e.g., embeddings, BM25, hybrid search).",Implementation,High,"Notion Export Pipeline, Librarian Agent Design, Knowledge Library Structure",Knowledge / Speech / Interface,18,Planned,"bm25, embeddings, indexing, rag, search"
19 — Notion Export Pipeline,No,Defines how new versions of these pages flow into the offline library.,Documents how Notion pages are exported to Markdown and imported into the local library.,Implementation,High,"Knowledge Library Structure, Local File Search, Librarian Agent Design",Knowledge / Speech / Interface,19,Planned,"export, markdown, notion, pipeline"
20 — Librarian Agent Design,No,Self-description of the librarian agent itself.,"Defines the small local agent that classifies, summarizes, and routes through exported pages.",Concept,High,"Local File Search, Prompt Library, Router Architecture",Knowledge / Speech / Interface,20,Planned,"agent, classification, librarian, summarization"
21 — Voice Notes Capture,No,Inbound channel for ad-hoc voice input from phone or mic.,Describes how voice notes are captured from phone or mic and queued for processing.,Implementation,Medium,"Speech-to-Text, Phone Dashboard, Knowledge Library Structure",Knowledge / Speech / Interface,21,Planned,"audio, capture, queue, voice-notes"
22 — Speech-to-Text (Local STT),No,Selected STT model and quality notes the router uses for voice intents.,"Covers local STT options (e.g., whisper.cpp, faster-whisper) with model and quality notes.",Reference,High,"Voice Notes Capture, Local Model Catalog, Experiments Log",Knowledge / Speech / Interface,22,Planned,"local, stt, transcription, whisper"
23 — Phone-Accessible Dashboard,No,Primary human-facing surface for interacting with the assistant.,Defines the small dashboard (web UI) used to interact with the assistant from a phone on the LAN.,Implementation,High,"FastAPI Service Layer, Local Security Posture, Voice Notes Capture",Knowledge / Speech / Interface,23,Planned,"dashboard, lan, phone, ui"
24 — Knowledge Library Structure on Disk,No,Predictable file layout the librarian relies on for retrieval.,Maps how exported Markdown is organized on disk so the librarian can find it predictably.,Reference,Medium,"Notion Export Pipeline, Local File Search, Backups",Knowledge / Speech / Interface,24,Planned,"filesystem, layout, library, markdown"
25 — Local Security Posture,No,Bounds for what the assistant should expose and to whom.,"Defines network exposure, auth, secrets handling, and update policy for the mini PC stack.",Concept,High,"Secrets Management, Phone Dashboard, Process Management",Security / MVP / Glossary / Experiments,25,Planned,"auth, network, secrets, security"
26 — Secrets and Config Management,No,Where keys live and how they get rotated.,"Describes how API keys, tokens, and configs are stored and rotated locally.",Implementation,Medium,"Local Security Posture, Python Environment, Backups",Security / MVP / Glossary / Experiments,26,Planned,"config, env, rotation, secrets"
27 — MVP Definition (v0.1),No,Authoritative scope statement the librarian can reference for what is in/out.,Defines the smallest end-to-end working assistant and the cut line for v0.1.,Decision,High,"Router Architecture, Phone Dashboard, Open Questions",Security / MVP / Glossary / Experiments,27,Planned,"milestones, mvp, scope, v0.1"
28 — Glossary of Terms,No,Canonical vocabulary for disambiguation when classifying queries.,"Shared vocabulary for the project (router, skill, librarian, dashboard, etc.).",Glossary,Medium,"Librarian Agent Design, Router Architecture, Tool Registry",Security / MVP / Glossary / Experiments,28,Planned,"definitions, glossary, vocabulary"
29 — Experiments Log,No,Source of empirical results that justify model and routing choices.,"Running log of experiments with models, prompts, routing rules, and quantization choices.",Experiment,Medium,"Local Model Catalog, Model Selection Rules, Speech-to-Text",Security / MVP / Glossary / Experiments,29,Planned,"comparisons, evaluation, experiments, log"
30 — Open Questions and Future Work,No,Backlog the librarian can surface when asked what is unresolved.,Captures unresolved questions and future directions deferred past v0.1.,Reference,Low,"MVP Definition, Experiments Log, Failure Modes",Security / MVP / Glossary / Experiments,30,Planned,"backlog, future, questions"
01 — Local LLM Harnesses: Big Picture,Yes,"Top-level mental map of how a local model actually gets executed; lets the librarian explain why Ollama exists vs vLLM, llama.cpp, LM Studio, etc.","Foundational source page: harness landscape, where Ollama sits, what GGUF is, where STT lives.",Concept,High,"Ollama Runtime Overview, Local Model Catalog (Small Models), Quantization and Why It Matters, FastAPI Service Layer, Speech-to-Text (Local STT)",Foundations and Runtime,1,Draft,"api, architecture, library, local-models, models, ollama, runtime"
04 — Quantization and Why It Matters,Yes,"Lets the librarian explain quant tags (Q4_K_M, Q5_K_M, Q8_0), predict file size and RAM, and pick the right quant per task and hardware.","Foundational source page: how quantization makes 7B-class models fit on a mini PC, and which level to use.",Concept,High,"Local LLM Harnesses: Big Picture, Ollama Runtime Overview, Local Model Catalog (Small Models), Model Selection Rules, Experiments Log",Foundations and Runtime,4,Draft,"comparisons, experiments, local-models, models, ollama"